FileName	Usefulness	ORGANIZATION	COMMERCIALITEM	DATE	EVENT	LOCATION	OTHER	PERSON	QUANTITY	TITLE	PERSONTYPE	PRODUCT	SKILL	ADDRESS	PHONENUMBER	EMAILADDRESS	URL	IPADDRESS	UNKNOWN	WORKOFART	CONSUMERGOOD	NUMBER	PRICE	COMPANY	DURATION	FACILITY	GEOGRAPHICFEATURE	HASHTAG	JOBTITLE	MEASURE	MONEY	ORDINAL	PERCENT	TIME	TWITTERHANDLE
""	Useless	11	0	1	3	4	25	4	0	0	0	0	0	1	0	1	0	0	0	3	3	13	0	0	2	0	0	0	0	0	0	0	0	0	0	
bundestag.de#G	Useful	4	0	0	0	2	50	3	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	20	0	0	7	6	107	7	0	0	0	0	0	2	0	0	0	0	0	6	12	20	0	0	0	0	0	0	0	0	0	0	0	0	0	
bundestag.de#I	Useful	7	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
""	Useless	12	0	2	0	3	0	6	0	0	0	0	0	0	0	2	1	0	0	0	0	10	0	0	2	1	0	0	2	0	0	1	0	0	0	
bundestag.de#M	Useful	6	0	0	0	1	0	0	2	0	4	1	10	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	7	0	0	5	3	0	0	18	0	8	2	28	5	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bundestag.de#T	Useful	3	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	6	0	0	3	3	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	
bvg.de#A	Useful	26	3	8	0	6	29	0	35	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	9	1	1	0	14	31	0	51	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bvg.de#C	Useful	33	0	1	8	10	99	27	0	0	0	0	0	2	0	1	0	0	0	9	8	15	0	0	6	1	0	0	0	0	0	1	0	0	0	
""	Useless	13	0	1	2	4	77	16	0	1	0	0	0	7	3	0	0	65	0	2	8	37	0	0	1	0	0	0	0	0	0	1	1	1	0	
bvg.de#G	Useful	38	0	1	21	14	381	30	0	0	0	0	0	2	0	0	0	0	0	15	19	29	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	23	0	1	9	9	294	22	0	0	0	0	0	11	2	0	0	0	0	8	19	44	0	0	0	0	0	0	0	0	0	0	0	0	0	
bvg.de#I	Useful	35	0	8	0	10	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	10	0	0	13	6	0	0	6	3	0	2	0	0	0	
""	Useless	16	0	3	0	3	0	9	0	0	0	0	0	0	1	0	0	65	0	0	0	30	0	0	4	1	0	0	5	1	0	5	1	1	0	
bvg.de#M	Useful	28	0	3	10	11	0	0	12	0	31	16	79	13	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	4	0	1	3	8	0	0	44	0	29	19	64	2	4	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bvg.de#T	Useful	28	0	1	4	8	3	0	0	0	0	0	0	1	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	5	0	1	1	5	5	1	7	0	0	0	0	2	1	0	0	65	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	
caritas.de#A	Useful	3	0	0	0	1	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	33	0	2	0	24	65	3	58	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
caritas.de#C	Useful	2	0	0	0	5	11	4	0	0	0	0	0	1	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	47	0	1	14	12	181	26	1	0	0	0	0	4	1	1	5	90	0	11	23	61	0	0	11	1	0	0	0	0	0	0	0	0	0	
caritas.de#G	Useful	4	0	0	0	5	25	3	0	0	0	0	0	1	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	58	0	1	33	17	636	39	0	0	0	0	0	7	1	0	0	0	0	36	49	77	1	0	0	0	0	0	0	0	0	0	0	0	0	
caritas.de#I	Useful	4	0	1	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	
""	Useless	57	0	0	0	10	0	7	0	0	0	0	0	0	2	4	12	93	0	0	0	53	0	0	14	6	0	0	8	5	0	7	0	0	0	
caritas.de#M	Useful	4	0	1	1	3	0	1	2	0	3	0	8	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	34	0	1	15	18	0	1	69	0	50	25	164	15	1	3	15	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
caritas.de#T	Useful	3	0	0	0	3	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	27	0	1	5	13	13	5	2	0	0	0	0	1	0	3	9	89	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	
carrefour.com#A	Useful	7	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
carrefour.com#C	Useful	5	0	0	1	1	15	1	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	2	0	0	1	0	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	
carrefour.com#G	Useful	8	0	0	2	4	76	7	0	0	0	0	0	2	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	5	0	0	2	0	70	9	0	0	0	0	0	0	0	0	0	0	0	2	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	
carrefour.com#I	Useful	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
carrefour.com#M	Useful	8	0	1	0	0	0	0	5	0	5	1	18	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	3	0	0	2	0	0	0	12	0	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
carrefour.com#T	Useful	7	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
cdu.de#A	Useful	9	0	0	0	5	35	2	21	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	19	0	2	0	8	40	7	26	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
cdu.de#C	Useful	18	0	0	4	5	72	12	0	0	0	0	0	2	0	1	2	0	0	7	8	5	1	0	2	0	0	0	0	0	0	0	0	0	0	
""	Useless	10	0	1	0	7	39	8	0	0	0	0	0	1	0	2	7	0	0	5	3	33	1	0	0	0	0	0	0	0	0	0	0	0	0	
cdu.de#G	Useful	21	0	0	11	11	287	20	0	0	0	0	0	2	0	0	0	0	0	20	20	14	2	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	19	0	2	5	7	277	27	0	0	0	0	0	2	0	0	0	0	0	13	14	39	0	0	0	0	0	0	0	0	0	0	0	0	0	
cdu.de#I	Useful	26	0	0	0	4	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	3	2	0	0	4	2	2	1	0	0	0	
""	Useless	27	0	4	0	4	0	23	0	0	0	0	0	0	0	2	8	0	0	0	0	36	0	0	0	5	0	3	4	0	0	5	0	0	0	
